key,label,n,is_mean,is_t,is_nw,is_trim,p_is,ho_mean,ho_t,ho_nw,ho_win,p_ho,wf_mean,wf_t,wf_win,wf_n,p_wf,boot_p5,boot_p50,boot_p95,p_leq_0,wf_trim,n_gates,VERDICT,gates
volman_GBPUSD_HM,vol-managed GBPUSD tier=HM,2850,5.294610613335399e-05,0.3468904873588986,0.32352092484907846,0.00014232405705301245,0.41358641358641357,0.0005749899998972991,3.369837481938666,2.677344431443746,0.5270607826810991,0.000999000999000999,0.00028168056867799605,2.16692051944075,0.6,10,0.004995004995004995,7.711696061026635e-05,0.0002815875767437849,0.0004887187246073636,0.0116,0.000298706799163676,4,FAIL,|t_is|>2; p_is<0.01
news_GBPUSD_0.5_5_H,news GBPUSD thr=0.5 h=5 tier=H,542,-0.0014030801103531926,-1.4562206513704727,-1.4017167253249472,-0.0014935922901799599,0.9120879120879121,0.0015896299532809337,2.639384798216103,2.1601575103254125,0.5608308605341247,0.003996003996003996,0.0005973251645481051,,,9,0.006993006993006993,0.00014422053998615694,0.0005973251645481051,0.0010839968396511171,0.0268,0.0004551291347099133,4,FAIL,|t_is|>2; p_is<0.01
news_USDJPY_1.5_5_HM,news USDJPY thr=1.5 h=5 tier=HM,710,-4.3690718966165456e-05,-0.08374926248227738,-0.0830570855858889,0.00015504150550468474,0.46253746253746253,0.0020237720651551257,2.4995528378447305,2.25176422115601,0.5428571428571428,0.006993006993006993,0.0007243325023562374,,,9,0.007992007992007992,0.00017575864681311043,0.0007298289846841754,0.0012596529969311425,0.016,0.0008053091941514244,4,FAIL,|t_is|>2; p_is<0.01
news_USDJPY_0.5_5_HM,news USDJPY thr=0.5 h=5 tier=HM,2852,-5.9614101711536114e-05,-0.22842599754956672,-0.21141849253574443,-6.432434298595746e-05,0.4825174825174825,0.0015188989115872123,3.927127362266129,3.2900915011095577,0.5513784461152882,0.000999000999000999,0.00041443851324703606,1.6336815713177457,0.5,10,0.008991008991008992,1.7897878600969483e-05,0.00040828625813735443,0.0008081672121913339,0.0372,0.0003868878679720323,4,FAIL,|t_is|>2; p_is<0.01
news_USDCHF_1.0_3_H,news USDCHF thr=1.0 h=3 tier=H,281,-0.0013637886359824274,-2.1595392238060125,-2.031023096916757,-0.0011014062566597734,0.975024975024975,0.0012841821744559103,1.737532982805719,1.415647528555658,0.5374149659863946,0.03296703296703297,0.0005997122261598852,,,8,0.011988011988011988,6.591918234151576e-05,0.0005924489434157862,0.0012064131691779177,0.0236,0.0003512028846401482,4,FAIL,p_is<0.01; ho NW t>2 & p<0.05
sizez_USDCAD_1.0_H,size|z| USDCAD thr=1.0 tier=H,281,-0.0009396334140928177,-0.8169955153288597,-0.711777901637664,-0.001674721185799226,0.991008991008991,0.0016171634359836,2.607536978107103,2.325292166764016,0.5986394557823129,0.000999000999000999,0.0005962742961269636,,,8,0.014985014985014986,0.00019287484113534903,0.0005779275616039073,0.001037466770622812,0.0046,0.0004886729221566817,4,FAIL,|t_is|>2; p_is<0.01
news_USDJPY_1.5_5_H,news USDJPY thr=1.5 h=5 tier=H,130,-0.0006962075861465694,-0.5121856493562111,-0.4863409839850943,-0.0005295475120650028,0.6553446553446554,0.0028201852560278077,1.6729911756248201,2.1234852110070603,0.5138888888888888,0.04895104895104895,0.001492406139831806,,,6,0.015984015984015984,0.00020037509046007295,0.0014924061398318058,0.0028846247344335753,0.0164,0.0009561563720175703,4,FAIL,|t_is|>2; p_is<0.01
news_USDJPY_0.5_1_HM,news USDJPY thr=0.5 h=1 tier=HM,2856,0.00014430360185267079,1.1387526084091133,1.1235571003348248,0.00018745515941697393,0.03396603396603397,0.0007577826952832952,3.775062105004332,3.034094780822935,0.5395503746877602,0.000999000999000999,0.0004013277900605298,2.9906159541707633,0.8,10,0.017982017982017984,0.00018488133297024246,0.00040120230508236933,0.0006091863866838744,0.0018,0.00041062471481558786,4,FAIL,|t_is|>2; p_is<0.01
news_NZDUSD_1.0_1_H,news NZDUSD thr=1.0 h=1 tier=H,281,-0.001240122429234472,-2.0462982822415743,-1.7362469652542114,-0.0011937077404765733,0.9660339660339661,0.0014248531294867518,2.0280057692184283,1.8350816490059891,0.5850340136054422,0.01098901098901099,0.0005745940333759288,,,8,0.024975024975024976,0.00013473788340844235,0.0005745940333759288,0.0010685489506687745,0.0236,0.0004368220996393411,4,FAIL,p_is<0.01; ho NW t>2 & p<0.05
volman_USDJPY_HM,vol-managed USDJPY tier=HM,2850,0.00024113292425778648,1.7009004784809831,1.5796059974742784,0.00033232363400365604,0.34465534465534464,0.0005934357335718545,3.225451685139076,2.700287090846434,0.5395503746877602,0.007992007992007992,0.0003896300957821722,3.599230575711512,0.9,10,0.025974025974025976,0.00021035366013090581,0.0003918797376974624,0.0005510134842175781,0.0002,0.00041673762119404534,4,FAIL,|t_is|>2; p_is<0.01
sizez_USDJPY_0.5_H,size|z| USDJPY thr=0.5 tier=H,545,-0.0002504755622429396,-0.3578329334217796,-0.33364699981107876,-0.00023960287858149255,0.8731268731268731,0.001569621546723453,3.1308557688622685,2.6904636930663797,0.5676470588235294,0.000999000999000999,0.0006138579075793154,,,9,0.026973026973026972,9.917537266522307e-05,0.0005923248700421907,0.0012151950635316171,0.0224,0.00044611035707875843,4,FAIL,|t_is|>2; p_is<0.01
news_USDJPY_1.0_5_HM,news USDJPY thr=1.0 h=5 tier=HM,1479,-0.00020059997695799967,-0.5628127610590751,-0.5080741171077403,-9.854380539590642e-05,0.6393606393606394,0.0015194333334575731,2.7581269459950937,2.1950181458475666,0.5415224913494809,0.003996003996003996,0.0004571704368816211,1.7386122946054972,0.5,10,0.027972027972027972,5.797829355918038e-05,0.0004512541376417966,0.0008763129624895818,0.0296,0.00045122720507860477,4,FAIL,|t_is|>2; p_is<0.01
news_USDJPY_1.0_3_H,news USDJPY thr=1.0 h=3 tier=H,281,-0.0018296728594437727,-2.3670716534301683,-2.432897411552776,-0.00191439462290098,0.996003996003996,0.00209276144303855,2.27060414075485,2.0261938099031203,0.5374149659863946,0.007992007992007992,0.0007511652464644742,,,8,0.03396603396603397,-0.00012825659476819028,0.0007511652464644742,0.001758843682465329,0.1072,0.0005759844524886814,4,FAIL,p_is<0.01; boot P(<=0)<0.05
news_USDCAD_1.0_1_H,news USDCAD thr=1.0 h=1 tier=H,281,-0.0004474531215612936,-0.9979404016853772,-0.9243130966994255,-0.0009442018134425251,0.8041958041958042,0.0008234239913640362,2.385153811863327,2.1575734484176854,0.5986394557823129,0.003996003996003996,0.0004772026737718619,,,8,0.03496503496503497,0.0001801028393017019,0.0004603620925108026,0.0008230494290096714,0.001,0.0003374367258546394,4,FAIL,|t_is|>2; p_is<0.01
news_USDJPY_0.5_1_H,news USDJPY thr=0.5 h=1 tier=H,545,-0.0003968804678513797,-0.9976112726385413,-0.9124025497039022,-0.0002956845985768581,0.7922077922077922,0.001324067955735196,3.461830271631908,2.9942546816153466,0.5676470588235294,0.000999000999000999,0.0006076176179198911,,,9,0.03596403596403597,0.00023024487574162887,0.0006056286902286505,0.0010216042041913934,0.0058,0.0004877507184036463,4,FAIL,|t_is|>2; p_is<0.01
